iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.6426478060682248
1000,-1.0,2.0,8,0.5879043539532691
1500,-1.0,2.0,8,
2000,-1.0,2.0,8,0.6016036725776379
2500,-0.9,2.1,10,0.6525416929957459
3000,-1.0,2.0,8,
3500,-1.0,2.0,8,0.5799861651350036
4000,-1.0,2.0,8,0.6239078584943528
4500,-1.0,2.0,10,0.6318400359234315
5000,-1.0,2.0,11,0.6145285232993556
5500,-1.0,2.0,8,0.6177152063223266
6000,-1.0,2.0,8,0.6651346828594321
6500,-1.0,2.0,10,0.602209924894855
7000,-0.88,2.12,8,0.601684627177925
7500,-1.0,2.0,9,0.651055441432459
8000,-1.0,2.0,9,0.6067350914879167
8500,-1.0,2.0,9,0.6051926474311332
9000,-1.0,2.0,9,0.5895958973527495
9500,-1.0,2.0,11,
10000,-1.0,2.0,10,
10500,-1.0,2.0,8,0.6054743668979461
11000,-0.9,2.1,10,0.5943033986298052
11500,-1.0,2.0,8,0.5909586433189847
12000,-1.0,2.0,9,0.6115409176396305
12500,-1.0,2.0,8,
13000,-1.0,2.0,8,0.5815844088461459
13500,-0.88,2.12,8,0.5796984313622019
14000,-1.0,2.0,9,
